bank_transaction_id,settlement_ref,amount,transaction_date,description
BNK_0001,SET_0001,370605,2026-08-08T01:36:00,Payout ORD_0001
BNK_0002,SET_0002,60714,2026-08-15T20:24:00,Payout ORD_0002
BNK_0003,SET_0003,171615,2026-08-13T19:48:00,Payout ORD_0003
BNK_0004,SET_0004,118479,2026-08-08T15:57:00,Payout ORD_0004
BNK_0005,SET_0005,389404,2026-08-29T03:41:00,Payout ORD_0005
BNK_0006,SET_0006,91949,2026-08-31T12:58:00,Payout ORD_0006
BNK_0007,SET_0007,260903,2026-08-06T10:42:00,Payout ORD_0007
BNK_0008,SET_0008,63129,2026-08-09T14:20:00,Payout ORD_0008
BNK_0009,SET_0009,158374,2026-08-16T06:07:00,Payout ORD_0009
BNK_0010,SET_0010,302983,2026-09-02T09:33:00,Payout ORD_0010
BNK_0011,SET_0011,61484,2026-08-28T21:01:00,Payout ORD_0011
BNK_0012,SET_0012,148388,2026-09-01T17:50:00,Payout ORD_0012
BNK_0013,SET_0013,401825,2026-08-28T03:13:00,Payout ORD_0013
BNK_0014,SET_0014,259692,2026-08-13T16:46:00,Payout ORD_0014
BNK_0015,SET_0015,274665,2026-08-30T19:38:00,Payout ORD_0015
BNK_0016,SET_0016,188410,2026-08-04T15:05:00,Payout ORD_0016
BNK_0017,SET_0017,430817,2026-08-11T22:23:00,Payout ORD_0017
BNK_0018,SET_0018,400218,2026-08-26T15:36:00,Payout ORD_0018
BNK_0019,SET_0019,228849,2026-08-18T03:30:00,Payout ORD_0019
BNK_0020,SET_0020,135753,2026-08-15T15:10:00,Payout ORD_0020
BNK_0021,SET_0021,442510,2026-08-18T11:39:00,Payout ORD_0021
BNK_0022,SET_0022,109078,2026-08-07T17:18:00,Payout ORD_0022
BNK_0023,SET_0023,249246,2026-08-08T05:38:00,Payout ORD_0023
BNK_0024,SET_0029,254473,2026-08-12T01:01:00,Payout ORD_0033
BNK_0025,SET_0030,201732,2026-08-06T18:58:00,Payout ORD_0034
BNK_0026,SET_0031,17804,2026-08-14T07:55:00,Payout ORD_0035
BNK_0027,SET_0032,306607,2026-08-17T11:05:00,Payout ORD_0036
BNK_0028,SET_0033,75093,2026-08-15T05:16:00,Payout ORD_0037
BNK_0029,STL-0034,99041,2026-08-22T06:11:00,Payout ORD_0038
BNK_0030,STL-0035,188301,2026-08-25T22:14:00,Payout ORD_0039
BNK_0031,STL-0036,368717,2026-08-22T05:29:00,Payout ORD_0040
BNK_0032,STL-0037,130138,2026-08-22T19:20:00,Payout ORD_0041
BNK_0033,STL-0038,227287,2026-08-12T19:50:00,Payout ORD_0042
BNK_0034,SET_0039,386113,2026-08-15T18:36:00,Payout ORD_0043
BNK_0035,SET_0040,402073,2026-09-02T10:49:00,Payout ORD_0044
BNK_0036,SET_0041,84114,2026-08-31T12:20:00,Payout ORD_0045
BNK_0037,SET_0042,368361,2026-08-11T21:55:00,Payout ORD_0046
BNK_0038,SET_0044,317503,2026-08-15T14:23:00,Payout ORD_0047
BNK_0039,SET_0046,130514,2026-08-25T19:54:00,Payout ORD_0048
BNK_0040,SET_0048,239485,2026-08-17T09:51:00,Payout ORD_0049
BNK_0041,SET_0050,370895,2026-08-30T19:20:00,Payout ORD_0050
BNK_0042,ORPHAN-ORD_0024,229157,2026-08-22T01:41:00,Unmatched payout ORD_0024
BNK_0043,ORPHAN-ORD_0025,352599,2026-08-18T10:55:00,Unmatched payout ORD_0025
BNK_0044,ORPHAN-ORD_0026,455187,2026-08-08T09:27:00,Unmatched payout ORD_0026
BNK_0045,ORPHAN-ORD_0027,416152,2026-08-27T07:48:00,Unmatched payout ORD_0027
BNK_0046,DUP-SET_0046,130614,2026-08-27T10:54:00,Duplicate payout ORD_0048
BNK_0047,DUP-SET_0047,65357,2026-08-27T16:54:00,Duplicate payout ORD_0048
BNK_0048,DUP-SET_0048,239585,2026-08-18T23:51:00,Duplicate payout ORD_0049
BNK_0049,DUP-SET_0049,119842,2026-08-19T05:51:00,Duplicate payout ORD_0049
BNK_0050,DUP-SET_0050,370995,2026-09-01T08:20:00,Duplicate payout ORD_0050
BNK_0051,SET_0051,158867,2026-08-20T10:12:00,Payout ORD_0051
BNK_0052,SET_0052,473206,2026-08-05T13:05:00,Payout ORD_0052
BNK_0053,SET_0053,163625,2026-08-04T19:03:00,Payout ORD_0053
BNK_0054,SET_0054,454137,2026-08-18T00:33:00,Payout ORD_0054
BNK_0055,SET_0055,250434,2026-08-16T04:26:00,Payout ORD_0055
BNK_0056,SET_0056,81483,2026-08-13T22:26:00,Payout ORD_0056
BNK_0057,SET_0057,334166,2026-08-18T23:42:00,Payout ORD_0057
BNK_0058,SET_0058,155342,2026-09-03T19:54:00,Payout ORD_0058
BNK_0059,SET_0059,299895,2026-08-23T08:08:00,Payout ORD_0059
BNK_0060,SET_0060,372333,2026-08-26T01:11:00,Payout ORD_0060
BNK_0061,SET_0061,120159,2026-08-17T13:19:00,Payout ORD_0061
BNK_0062,SET_0062,118525,2026-08-14T01:22:00,Payout ORD_0062
BNK_0063,SET_0063,423847,2026-08-28T13:09:00,Payout ORD_0063
BNK_0064,SET_0064,319942,2026-08-15T06:59:00,Payout ORD_0064
BNK_0065,SET_0065,424868,2026-08-30T06:31:00,Payout ORD_0065
BNK_0066,SET_0066,264187,2026-08-30T13:22:00,Payout ORD_0066
BNK_0067,SET_0067,249543,2026-08-20T19:23:00,Payout ORD_0067
BNK_0068,SET_0068,158719,2026-08-13T09:05:00,Payout ORD_0068
BNK_0069,SET_0069,319036,2026-08-27T15:03:00,Payout ORD_0069
BNK_0070,SET_0070,107996,2026-08-07T15:27:00,Payout ORD_0070
BNK_0071,SET_0071,117544,2026-08-12T18:56:00,Payout ORD_0071
BNK_0072,SET_0072,378799,2026-08-09T22:44:00,Payout ORD_0072
BNK_0073,SET_0073,461930,2026-08-22T05:06:00,Payout ORD_0073
BNK_0074,SET_0079,164755,2026-08-08T00:50:00,Payout ORD_0083
BNK_0075,SET_0080,98067,2026-08-23T01:52:00,Payout ORD_0084
BNK_0076,SET_0081,31968,2026-08-24T06:35:00,Payout ORD_0085
BNK_0077,SET_0082,34817,2026-08-15T22:41:00,Payout ORD_0086
BNK_0078,SET_0083,255493,2026-08-12T10:08:00,Payout ORD_0087
BNK_0079,STL-0084,304157,2026-08-09T11:13:00,Payout ORD_0088
BNK_0080,STL-0085,363480,2026-08-18T12:58:00,Payout ORD_0089
BNK_0081,STL-0086,472610,2026-09-03T08:54:00,Payout ORD_0090
BNK_0082,STL-0087,304148,2026-09-02T08:09:00,Payout ORD_0091
BNK_0083,STL-0088,148424,2026-08-12T21:56:00,Payout ORD_0092
BNK_0084,SET_0089,236690,2026-08-10T03:27:00,Payout ORD_0093
BNK_0085,SET_0090,320144,2026-08-27T06:17:00,Payout ORD_0094
BNK_0086,SET_0091,48389,2026-08-30T17:12:00,Payout ORD_0095
BNK_0087,SET_0092,211593,2026-08-26T00:41:00,Payout ORD_0096
BNK_0088,SET_0094,57924,2026-08-09T05:11:00,Payout ORD_0097
BNK_0089,SET_0096,231175,2026-08-18T10:53:00,Payout ORD_0098
BNK_0090,SET_0098,168872,2026-08-07T10:16:00,Payout ORD_0099
BNK_0091,SET_0100,169588,2026-08-30T22:42:00,Payout ORD_0100
BNK_0092,ORPHAN-ORD_0074,348909,2026-08-09T07:23:00,Unmatched payout ORD_0074
BNK_0093,ORPHAN-ORD_0075,242163,2026-08-23T18:49:00,Unmatched payout ORD_0075
BNK_0094,ORPHAN-ORD_0076,348646,2026-08-27T17:14:00,Unmatched payout ORD_0076
BNK_0095,ORPHAN-ORD_0077,314967,2026-08-17T20:36:00,Unmatched payout ORD_0077
BNK_0096,DUP-SET_0092,211693,2026-08-27T15:41:00,Duplicate payout ORD_0096
BNK_0097,DUP-SET_0094,58024,2026-08-10T19:11:00,Duplicate payout ORD_0097
BNK_0098,DUP-SET_0096,231275,2026-08-19T23:53:00,Duplicate payout ORD_0098
BNK_0099,DUP-SET_0098,168972,2026-08-08T22:16:00,Duplicate payout ORD_0099
BNK_0100,DUP-SET_0100,169688,2026-09-01T09:42:00,Duplicate payout ORD_0100
