refund_id,order_id,refund_amount,created_at
RFN_0001,ORD_0005,40478,2026-08-28T20:41:00
RFN_0002,ORD_0008,13124,2026-08-08T16:20:00
RFN_0003,ORD_0010,15747,2026-09-01T01:33:00
RFN_0004,ORD_0033,88174,2026-08-16T07:01:00
RFN_0005,ORD_0034,209699,2026-08-10T19:58:00
RFN_0006,ORD_0035,55518,2026-08-18T03:55:00
RFN_0007,ORD_0036,136593,2026-08-21T02:05:00
RFN_0008,ORD_0037,13774,2026-08-18T15:16:00
RFN_0009,ORD_0043,48163,2026-08-15T22:36:00
RFN_0010,ORD_0044,33436,2026-09-02T09:49:00
RFN_0011,ORD_0055,26032,2026-08-17T11:26:00
RFN_0012,ORD_0058,32295,2026-09-04T11:54:00
RFN_0013,ORD_0060,19351,2026-08-26T19:11:00
RFN_0014,ORD_0083,57087,2026-08-08T20:50:00
RFN_0015,ORD_0084,101939,2026-08-23T16:52:00
RFN_0016,ORD_0085,99690,2026-08-24T16:35:00
RFN_0017,ORD_0086,15510,2026-08-16T03:41:00
RFN_0018,ORD_0087,46867,2026-08-12T10:08:00
RFN_0019,ORD_0093,29524,2026-08-12T09:27:00
RFN_0020,ORD_0094,26623,2026-08-29T07:17:00
