settlement_id,order_id,gross_amount,fee,tax,net_amount,settled_at
SET_0001,ORD_0001,385243,7704,6934,370605,2026-08-07T18:36:00
SET_0002,ORD_0002,63112,1262,1136,60714,2026-08-15T12:24:00
SET_0003,ORD_0003,178393,3567,3211,171615,2026-08-13T10:48:00
SET_0004,ORD_0004,123158,2463,2216,118479,2026-08-08T05:57:00
SET_0005,ORD_0005,404785,8095,7286,389404,2026-08-28T16:41:00
SET_0006,ORD_0006,95580,1911,1720,91949,2026-08-31T00:58:00
SET_0007,ORD_0007,271208,5424,4881,260903,2026-08-05T21:42:00
SET_0008,ORD_0008,65622,1312,1181,63129,2026-08-09T00:20:00
SET_0009,ORD_0009,164629,3292,2963,158374,2026-08-15T15:07:00
SET_0010,ORD_0010,314951,6299,5669,302983,2026-09-01T17:33:00
SET_0011,ORD_0011,63912,1278,1150,61484,2026-08-28T04:01:00
SET_0012,ORD_0012,154248,3084,2776,148388,2026-09-01T11:50:00
SET_0013,ORD_0013,417696,8353,7518,401825,2026-08-28T00:13:00
SET_0014,ORD_0014,269949,5398,4859,259692,2026-08-13T12:46:00
SET_0015,ORD_0015,285514,5710,5139,274665,2026-08-30T14:38:00
SET_0016,ORD_0016,195852,3917,3525,188410,2026-08-04T09:05:00
SET_0017,ORD_0017,447833,8956,8060,430817,2026-08-11T15:23:00
SET_0018,ORD_0018,416026,8320,7488,400218,2026-08-23T21:36:00
SET_0019,ORD_0019,235289,4705,4235,226349,2026-08-17T14:30:00
SET_0020,ORD_0020,138516,2770,2493,133253,2026-08-15T01:10:00
SET_0021,ORD_0021,457390,9147,8233,440010,2026-08-17T20:39:00
SET_0022,ORD_0022,110787,2215,1994,106578,2026-08-07T01:18:00
SET_0023,ORD_0023,256491,5129,4616,246746,2026-08-07T12:38:00
SET_0024,ORD_0028,331137,6622,5960,318555,2026-08-10T06:20:00
SET_0025,ORD_0029,248461,4969,4472,239020,2026-08-08T11:04:00
SET_0026,ORD_0030,339428,6788,6109,326531,2026-08-18T12:13:00
SET_0027,ORD_0031,484846,9696,8727,466423,2026-08-31T01:38:00
SET_0028,ORD_0032,374282,7485,6737,360060,2026-08-19T05:00:00
SET_0029,ORD_0033,264524,5290,4761,254473,2026-08-11T19:01:00
SET_0030,ORD_0034,209699,4193,3774,201732,2026-08-06T11:58:00
SET_0031,ORD_0035,18507,370,333,17804,2026-08-13T23:55:00
SET_0032,ORD_0036,318717,6374,5736,306607,2026-08-17T02:05:00
SET_0033,ORD_0037,78059,1561,1405,75093,2026-08-14T19:16:00
SET_0034,ORD_0038,102953,2059,1853,99041,2026-08-21T19:11:00
SET_0035,ORD_0039,195738,3914,3523,188301,2026-08-25T10:14:00
SET_0036,ORD_0040,383281,7665,6899,368717,2026-08-21T16:29:00
SET_0037,ORD_0041,135277,2705,2434,130138,2026-08-22T05:20:00
SET_0038,ORD_0042,236264,4725,4252,227287,2026-08-12T04:50:00
SET_0039,ORD_0043,401364,8027,7224,386113,2026-08-15T02:36:00
SET_0040,ORD_0044,417955,8359,7523,402073,2026-09-01T17:49:00
SET_0041,ORD_0045,87435,1748,1573,84114,2026-08-31T06:20:00
SET_0042,ORD_0046,382911,7658,6892,368361,2026-08-11T14:55:00
SET_0043,ORD_0046,191455,3829,3446,184180,2026-08-11T20:55:00
SET_0044,ORD_0047,330043,6600,5940,317503,2026-08-15T06:23:00
SET_0045,ORD_0047,165021,3300,2970,158751,2026-08-15T12:23:00
SET_0046,ORD_0048,135669,2713,2442,130514,2026-08-25T10:54:00
SET_0047,ORD_0048,67834,1356,1221,65257,2026-08-25T16:54:00
SET_0048,ORD_0049,248943,4978,4480,239485,2026-08-16T23:51:00
SET_0049,ORD_0049,124471,2489,2240,119742,2026-08-17T05:51:00
SET_0050,ORD_0050,385544,7710,6939,370895,2026-08-30T08:20:00
SET_0051,ORD_0051,165141,3302,2972,158867,2026-08-20T01:12:00
SET_0052,ORD_0052,491897,9837,8854,473206,2026-08-05T03:05:00
SET_0053,ORD_0053,170087,3401,3061,163625,2026-08-04T08:03:00
SET_0054,ORD_0054,472075,9441,8497,454137,2026-08-17T12:33:00
SET_0055,ORD_0055,260325,5206,4685,250434,2026-08-15T15:26:00
SET_0056,ORD_0056,84701,1694,1524,81483,2026-08-13T08:26:00
SET_0057,ORD_0057,347365,6947,6252,334166,2026-08-18T08:42:00
SET_0058,ORD_0058,161477,3229,2906,155342,2026-09-03T03:54:00
SET_0059,ORD_0059,311740,6234,5611,299895,2026-08-22T15:08:00
SET_0060,ORD_0060,387039,7740,6966,372333,2026-08-25T19:11:00
SET_0061,ORD_0061,124905,2498,2248,120159,2026-08-17T06:19:00
SET_0062,ORD_0062,123206,2464,2217,118525,2026-08-13T17:22:00
